"","Distance","Rsquare","Number"
"1",10,0.349435002184325,33
"2",20,0.296311685020543,30
"3",30,0.312073903312535,54
"4",40,0.239619556479653,49
"5",50,0.29437710649517,53
"6",60,0.361685077962068,57
"7",70,0.178080884839264,92
"8",80,0.187685970101984,66
"9",90,0.229366366935284,77
"10",100,0.219032793966478,49
"11",200,0.186942447227119,447
"12",300,0.189642187881832,171
"13",400,0.216113671836546,71
"14",500,0.197716168409328,40
"15",600,0.214686908700526,24
"16",700,0.24478109383364,15
"17",800,0.0690186702967845,18
"18",900,0.167663280340901,18
"19",1000,0.179456932216765,9
"20",1100,0.132253849166761,10
"21",1200,0.210688802897091,10
"22",1300,0.640953456626092,3
"23",1400,0.181226311390744,6
"24",1500,0.0182684344379651,2
"25",1600,0.255264581632733,8
"26",1700,0.0211891026067469,4
"27",1800,0.0528460289650535,3
"28",1900,0.0811885391259801,3
"29",2000,0.0404797181438621,1
"30",2100,0.112586110891754,5
"31",2200,0.0490645817253644,2
"32",2300,0.240668217438994,5
"33",2400,0.169865570228952,1
"34",2656.75,0.300927614613056,7
"35",2856.75,0.2290357471727,2
"36",3056.75,0.272513947274953,4
"37",3256.75,0.117545096941784,6
"38",3775.66666666667,0.241614466802208,6
"39",4275.66666666667,0.0695006740318586,5
"40",4775.66666666667,0.0235197510970269,4
"41",5913.5,0.0117395119203714,6
"42",6913.5,0.086174610604428,8
"43",7913.5,0.179783399918228,3
"44",8913.5,0.081246016103981,2
